Where,Year,Event,Distance,Sex,Rank,Lane,Athlete,Nation,Time,Notes,Wind m/s
Olympics,2021,Run,100,M,1,3,Marcell Jacobs, Italy,9.8,AR,0
Olympics,2021,Run,100,M,2,5,Fred Kerley, United States,9.84,PB,0
Olympics,2021,Run,100,M,3,9,Andre De Grasse, Canada,9.89,PB,0
Olympics,2021,Run,100,M,4,2,Akani Simbine, South Africa,9.93,,0
Olympics,2021,Run,100,M,5,7,Ronnie Baker, United States,9.95,,0
Olympics,2021,Run,100,M,6,6,Su Bingtian, China,9.98,,0
Olympics,2021,Run,100,M,,8,Enoch Adegoke, Nigeria,,DNF,0
Olympics,2021,Run,100,M,,4,Zharnel Hughes, Great Britain,,DQ,0
Olympics,2021,Run,10000,M,1,,Selemon Barega, Ethiopia,27:43.2,,0
Olympics,2021,Run,10000,M,2,,Joshua Cheptegei, Uganda,27:43.6,SB,0
Olympics,2021,Run,10000,M,3,,Jacob Kiplimo, Uganda,27:43.9,,0
Olympics,2021,Run,10000,M,4,,Berihu Aregawi, Ethiopia,27:46.2,,0
Olympics,2021,Run,10000,M,5,,Grant Fisher, United States,27:46.4,,0
Olympics,2021,Run,10000,M,6,,Mohammed Ahmed, Canada,27:47.8,SB,0
Olympics,2021,Run,10000,M,7,,Rodgers Kwemoi, Kenya,27:50.1,,0
Olympics,2021,Run,10000,M,8,,Yomif Kejelcha, Ethiopia,27:52.0,,0
Olympics,2021,Run,10000,M,9,,Rhonex Kipruto, Kenya,27:52.8,,0
Olympics,2021,Run,10000,M,10,,Morhad Amdouni, France,27:53.6,NR,0
Olympics,2021,Run,10000,M,11,,Yemaneberhan Crippa, Italy,27:54.1,SB,0
Olympics,2021,Run,10000,M,12,,Aron Kifle, Eritrea,28:04.1,,0
Olympics,2021,Run,10000,M,13,,Carlos Mayo, Spain,28:04.7,,0
Olympics,2021,Run,10000,M,14,,Marc Scott, Great Britain,28:09.2,,0
Olympics,2021,Run,10000,M,15,,Woody Kincaid, United States,28:11.0,,0
Olympics,2021,Run,10000,M,16,,Joe Klecker, United States,28:14.2,,0
Olympics,2021,Run,10000,M,17,,Akira Aizawa, Japan,28:18.4,SB,0
Olympics,2021,Run,10000,M,18,,Isaac Kimeli, Belgium,28:31.9,,0
Olympics,2021,Run,10000,M,19,,Patrick Tiernan, Australia,28:35.1,SB,0
Olympics,2021,Run,10000,M,20,,Weldon Langat, Kenya,28:41.4,,0
Olympics,2021,Run,10000,M,21,,Julien Wanders, Switzerland,28:55.3,SB,0
